,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99,gene100,gene101,gene102,gene103,gene104,gene105,gene106,gene107,gene108,gene109,gene110
cell388,26,0,1,3,257,12,0,85,187,32,1,36,0,0,25,7,43,5,90,190,4,16,0,0,78,16,2,24,19,2,228,18,266,144,42,77,88,36,5,2,1,26,9,78,55,2,327,23,8,4,6,24,2,36,46,16,2,22,27,29,84,7,5,0,17,0,13,35,23,10,90,18,8,9,50,51,31,10,3,11,6,11,16,11,34,26,32,164,6,3,76,0,6,149,8,1,4,56,5,5,9,0,0,35,29,7,10,84,21,219
cell389,0,5,0,2,0,11,0,88,164,34,5,65,2,0,21,18,60,15,74,53,5,2,0,0,64,24,26,14,19,0,192,41,200,114,45,92,95,59,3,3,0,48,6,38,38,1,274,33,2,8,4,39,4,21,41,13,1,33,34,18,107,20,10,5,97,0,38,26,15,18,130,12,5,7,93,65,17,1,0,8,5,12,21,15,14,9,52,231,0,5,55,0,9,66,2,2,6,62,3,30,0,0,3,40,26,14,11,80,23,184
cell390,44,8,0,10,5,13,0,109,217,46,10,64,16,0,43,11,47,2,157,75,9,9,1,0,0,39,4,5,15,4,133,20,160,67,45,141,90,41,3,4,11,56,8,75,77,19,111,27,17,12,6,43,0,51,68,18,3,11,60,23,109,14,10,0,39,0,49,46,9,14,104,1,7,7,66,78,12,3,0,30,9,20,15,10,42,7,28,201,7,7,61,0,5,254,1,0,15,103,0,16,0,0,4,38,22,19,9,138,21,272
cell391,65,5,2,14,27,23,4,175,0,8,10,88,8,0,42,9,53,4,49,11,1,17,0,0,12,9,1,29,19,1,27,2,15,21,36,4842,90,55,5,1,1,49,7,57,274,4,27,16,16,5,9,32,5,155,37,10,3,3,52,23,25,5,5,0,0,0,27,62,12,1,114,9,8,21,19,298,2,40,40,12,6,1,30,2,14,35,22,4365,10,2,45,0,3,93,4,0,3,75,2,16,26,1,0,17,28,2,11,2596,15,25
cell392,24,0,4,14,2,3,0,120,185,30,3,100,9,0,50,4,69,22,362,171,5,11,1,0,0,25,3,11,21,4,256,4,287,122,30,107,109,35,6,15,0,52,10,29,53,1,192,16,5,12,4,37,3,37,53,18,11,23,29,21,109,4,5,0,98,12,39,26,15,8,122,15,1,17,99,67,26,20,5,8,13,27,6,7,23,31,32,157,5,2,57,0,17,322,3,1,7,81,0,16,2,0,0,26,23,6,11,175,13,133
cell393,0,0,0,23,289,45,0,157,0,17,3,69,7,0,44,8,47,6,52,23,1,8,1,0,0,4,0,66,8,2,15,2,25,9,29,3822,105,53,7,4,0,47,10,29,78,3,40,9,19,13,11,29,2,98,46,13,2,0,34,62,25,6,0,0,1,5,42,114,0,5,90,8,0,102,14,231,6,28,4,30,2,2,36,1,41,28,22,4468,23,6,61,0,3,44,6,0,4,62,2,14,9,1,0,25,23,1,12,808,8,10
cell394,6,1,1,1,0,6,2,81,112,16,0,42,3,0,32,8,32,1,64,182,1,12,0,0,0,12,18,22,9,2,188,10,214,103,35,105,79,78,18,9,4,25,9,41,65,2,276,26,1,12,14,33,5,83,38,9,1,31,23,25,136,6,8,0,73,1,28,22,11,5,66,3,0,9,42,58,21,9,5,11,7,11,22,16,31,7,42,180,5,6,58,0,7,104,3,3,2,57,1,10,6,1,0,21,28,18,16,184,6,146
cell395,0,4,0,1,1,4,0,81,185,21,5,41,1,4,37,7,63,6,105,168,7,7,1,0,0,31,0,5,26,0,400,3,348,142,35,141,94,65,9,13,0,35,4,55,39,4,386,49,17,10,17,29,3,74,44,10,1,23,41,8,113,9,8,0,101,1,58,9,22,4,99,3,0,5,84,57,36,8,26,64,4,4,15,41,21,35,44,109,15,8,120,0,18,172,4,12,0,57,5,15,8,0,0,17,26,4,11,210,18,210
cell396,2,3,0,4,0,10,0,78,214,22,10,45,2,0,34,16,67,4,158,161,25,10,0,0,0,50,4,12,21,1,354,20,348,111,40,167,82,53,13,5,1,47,5,51,39,2,186,54,7,18,4,26,6,84,46,12,5,14,28,22,110,10,9,0,31,1,35,12,12,0,98,33,9,18,132,60,15,8,0,11,6,19,13,29,10,16,43,140,5,8,65,4,7,109,7,1,2,49,2,17,0,0,3,21,32,5,11,48,13,231
cell397,0,1,0,17,296,6,0,91,288,39,3,66,1,0,11,8,70,13,273,101,10,16,1,1,37,28,0,7,17,0,164,4,137,81,42,89,118,44,13,7,41,48,10,100,45,26,14,29,24,19,9,43,8,2,50,21,16,33,71,10,93,36,19,0,2,0,30,35,15,6,125,13,2,8,54,50,24,4,0,6,9,35,26,18,33,18,42,165,6,5,48,0,8,99,5,3,4,63,3,23,1,0,0,27,28,10,9,127,16,284
cell398,31,0,0,6,194,5,0,93,205,15,11,111,0,0,64,2,95,20,309,75,0,0,0,0,2,29,0,11,8,1,162,9,157,81,32,77,105,138,12,7,2,45,6,91,48,17,210,20,14,26,14,45,3,40,71,35,8,16,64,3,88,14,8,5,9,0,71,19,7,8,150,10,1,11,83,54,12,6,0,10,16,10,15,11,12,14,29,172,4,0,71,0,16,197,5,3,8,87,2,23,4,0,0,19,32,2,5,87,10,149
cell399,1,0,0,3,399,31,0,155,12,3,1,44,9,11,40,7,68,11,70,26,1,0,0,1,10,11,1,29,17,5,27,2,35,10,36,3257,91,62,8,3,2,60,4,51,199,7,0,8,15,39,10,35,2,104,45,16,1,31,28,54,30,15,0,1,2,0,33,72,12,5,129,7,2,10,26,254,5,52,6,8,5,7,35,4,32,27,11,3272,21,1,53,0,0,197,3,0,3,70,1,11,2,0,0,44,24,9,7,928,3,20
cell400,1,4,2,3,132,14,0,90,152,32,2,83,3,0,14,5,52,6,137,109,10,0,1,0,0,33,1,5,20,0,96,15,207,110,49,139,85,69,7,7,11,42,3,24,70,10,241,26,7,1,4,35,1,8,52,27,2,19,57,23,87,33,9,1,0,0,32,13,12,12,143,8,0,11,71,50,6,2,1,1,7,17,13,8,36,14,42,127,5,5,63,0,6,175,6,2,9,17,4,11,4,0,0,27,35,5,6,170,32,232
cell401,30,0,3,9,0,25,0,207,12,4,13,106,6,0,22,10,78,10,80,24,8,3,1,1,35,14,0,44,24,4,35,11,71,23,28,3352,112,132,5,5,6,53,3,50,131,10,78,14,28,2,11,47,6,37,60,38,3,9,48,18,27,6,6,0,4,0,48,108,3,0,139,0,0,8,23,311,7,80,42,40,2,6,49,2,53,51,11,3351,18,3,41,0,2,296,7,2,3,68,0,25,5,1,0,27,27,7,11,1191,10,24
cell402,0,94,1,5,0,4,0,220,77,1,8,82,3,0,43,9,66,13,53,10,3,0,1,0,2,3,0,43,9,2,32,2,43,11,26,4255,89,100,9,0,6,44,8,49,115,4,17,6,28,43,10,36,1,27,38,20,1,2,49,33,22,36,6,0,0,2,33,79,9,3,114,13,3,27,18,176,1,80,4,41,1,14,32,5,38,68,19,3395,23,3,43,0,2,78,11,1,3,81,2,25,19,0,0,39,23,14,9,1588,3,14
cell403,39,2,0,9,105,4,0,70,189,20,3,90,1,0,53,3,43,5,262,137,12,14,1,0,0,0,0,9,11,0,291,14,243,106,32,64,101,34,2,7,12,30,5,63,21,4,313,41,4,10,12,22,1,95,44,10,18,17,42,17,85,26,9,0,48,0,16,22,15,7,90,21,9,4,98,58,9,2,1,25,11,22,25,22,18,18,60,141,0,2,70,0,3,245,2,2,24,64,1,26,7,0,0,29,33,12,4,92,25,217
cell404,2,1,0,6,0,4,0,78,75,31,6,30,2,0,33,1,36,7,134,145,3,1,0,0,0,23,0,1,24,0,57,7,243,60,36,177,77,35,5,13,4,22,9,64,46,4,3,45,7,24,7,20,5,25,36,13,9,3,37,19,98,10,2,0,129,0,32,22,9,3,95,15,0,5,45,52,24,5,0,8,7,3,25,12,26,14,49,159,12,3,52,0,11,134,4,3,8,58,3,21,0,0,4,21,22,1,3,37,20,257
cell405,24,27,3,10,106,42,0,245,121,13,6,115,1,3,16,4,85,16,70,10,2,3,0,0,23,4,0,35,25,1,22,4,30,14,32,3057,97,50,6,7,1,51,7,76,172,0,25,12,15,12,9,23,0,16,51,23,0,10,53,71,19,15,11,0,0,0,42,96,7,9,114,15,25,20,10,332,3,77,1,5,0,8,37,2,70,44,12,3255,19,4,42,0,10,166,3,2,13,97,3,18,15,0,0,25,28,16,10,1196,11,14
cell406,34,0,1,1,13,6,2,118,236,14,7,64,4,0,36,2,37,4,137,153,20,7,2,0,24,44,3,16,16,0,157,30,221,127,26,190,112,12,4,1,3,27,5,58,50,4,331,19,6,17,16,29,1,12,29,13,3,24,27,6,68,0,7,1,1,0,36,23,3,2,81,1,4,6,47,81,7,5,1,5,4,11,22,2,24,5,26,183,3,10,61,0,6,103,3,1,2,63,21,22,2,0,3,23,15,3,12,39,23,269
cell407,0,3,4,22,219,13,0,90,105,4,6,51,0,0,13,2,38,4,131,152,11,4,1,0,0,19,0,8,18,1,84,6,216,68,24,191,76,38,7,8,0,21,15,55,69,8,72,27,10,23,8,18,1,30,31,10,0,21,30,25,93,6,4,0,0,0,32,23,9,12,66,4,0,14,45,65,19,2,0,39,7,7,2,14,34,25,59,167,0,0,64,2,12,114,10,2,2,46,7,29,4,0,0,46,17,20,12,161,17,153
cell408,0,12,1,5,282,4,3,95,160,9,4,57,0,0,16,6,44,0,114,102,34,3,3,0,0,14,0,2,18,2,109,25,88,118,28,114,67,28,3,7,5,25,4,35,43,3,238,20,15,7,14,31,3,10,43,8,8,12,26,26,93,15,9,0,7,0,44,28,11,6,81,15,17,13,53,58,18,5,0,13,21,41,13,6,15,15,47,224,7,0,62,0,19,178,5,7,6,63,1,21,0,1,1,39,22,11,8,87,16,105
cell409,117,5,2,4,2,11,0,73,120,13,7,45,0,0,14,4,19,6,488,107,14,1,0,2,0,19,3,8,19,0,269,10,234,119,17,132,57,60,5,13,0,22,3,24,61,1,138,44,7,24,15,13,5,0,27,13,33,13,17,5,120,10,8,0,70,0,43,16,5,8,67,1,3,17,103,58,29,3,7,38,16,24,18,1,21,27,67,159,3,2,64,0,19,34,3,1,0,46,13,15,0,0,0,15,20,8,6,141,14,318
cell410,3,37,1,7,7,25,0,163,110,7,2,55,2,4,23,1,37,14,71,2,1,0,2,0,4,13,0,20,12,6,16,0,14,3,36,1675,88,22,5,1,2,34,7,38,243,6,12,8,6,12,6,34,1,1,30,12,3,0,40,45,21,16,4,0,6,1,43,83,15,14,92,10,1,9,4,198,5,52,1,21,3,12,36,0,31,25,16,2898,18,4,49,0,7,62,11,2,11,37,0,21,2,0,0,24,27,5,10,1449,10,19
cell411,0,14,5,4,1,30,0,136,77,5,6,65,5,12,41,3,59,4,35,3,2,5,1,1,16,12,0,23,3,4,10,2,11,13,23,1950,78,32,1,5,0,26,4,46,188,6,11,14,9,14,16,27,3,13,40,4,1,0,19,34,8,20,6,0,11,2,29,84,19,5,57,15,2,13,7,201,4,29,0,3,2,14,21,1,43,39,12,3423,14,0,76,0,9,174,3,1,6,58,0,27,8,1,0,32,24,10,20,2831,4,20
cell412,9,2,1,12,149,7,0,66,121,23,3,51,2,0,31,4,29,2,143,152,11,9,1,0,11,15,2,14,14,0,148,33,247,103,17,175,57,46,2,6,1,12,15,35,46,0,267,16,4,7,20,18,2,73,10,15,32,10,27,8,93,4,2,0,1,0,22,28,11,0,62,1,4,9,53,58,30,5,6,20,7,24,15,0,16,19,54,164,0,8,78,0,5,107,7,4,0,34,0,17,1,0,0,33,29,0,7,25,12,310
cell413,0,16,2,7,364,10,0,143,0,1,5,53,1,14,29,6,43,9,51,18,1,2,0,0,3,10,2,36,14,1,17,1,29,19,26,2344,79,33,14,4,0,20,1,22,188,8,33,9,8,18,5,24,5,32,49,17,4,58,32,73,21,13,4,0,0,0,11,82,5,2,91,11,35,10,12,201,4,78,0,36,3,16,20,4,18,28,12,1934,19,2,61,0,6,133,0,4,2,51,0,24,14,0,0,9,17,9,15,170,6,19
cell414,0,17,1,9,401,7,0,104,247,17,21,85,0,0,23,12,45,2,127,309,59,19,2,0,0,36,9,12,17,1,155,34,356,134,19,104,109,23,8,22,1,28,9,59,52,1,384,33,12,5,19,19,0,2,36,9,27,20,46,18,87,17,10,0,92,1,38,20,9,5,75,3,2,18,101,58,26,6,87,18,12,17,14,8,41,25,59,157,8,3,71,0,10,149,1,2,3,68,1,21,2,1,0,42,24,3,8,54,18,223
cell415,9,4,3,0,132,7,0,114,210,21,3,78,2,0,28,4,48,2,70,161,15,6,2,0,0,8,3,21,17,1,114,15,271,88,31,164,98,32,6,12,9,22,2,39,46,9,150,23,7,7,11,22,6,104,33,13,4,21,43,19,79,20,11,0,53,0,35,44,20,5,71,6,1,12,90,67,19,13,6,7,19,39,31,18,42,35,62,230,7,2,64,0,4,166,5,1,0,53,0,31,1,0,1,53,32,6,3,155,10,24
cell416,0,1,0,11,44,3,0,74,149,16,12,57,2,0,49,3,42,5,65,253,16,6,1,0,4,7,16,10,15,0,240,26,213,85,27,193,67,8,8,4,0,14,6,47,55,8,318,17,2,16,11,25,1,66,20,11,3,19,27,29,88,4,3,0,84,0,27,32,3,6,67,3,3,10,89,95,16,0,0,9,12,17,15,6,13,13,32,161,2,1,61,0,14,211,4,0,1,20,4,11,1,1,0,27,28,8,5,208,12,318
cell417,1,1,0,5,3,5,0,100,145,22,7,41,2,0,30,2,21,2,154,131,8,7,0,0,0,14,1,11,13,3,380,25,209,67,16,107,67,18,3,5,4,26,9,11,72,5,287,26,4,16,18,24,2,5,13,2,13,27,25,8,135,18,3,0,46,2,9,46,1,2,56,5,1,3,85,59,12,6,2,19,6,15,9,0,15,13,54,261,5,6,53,0,13,73,13,4,1,35,14,20,4,0,1,35,34,16,4,127,12,191
cell418,31,0,1,1,293,8,2,86,186,22,1,47,0,0,19,1,40,5,67,110,24,4,3,0,0,11,0,10,7,0,174,20,212,90,25,176,81,14,3,4,5,24,7,57,52,1,136,25,4,4,19,19,0,46,34,10,7,14,34,8,119,3,1,0,117,5,44,17,13,3,69,7,4,21,78,81,8,6,0,26,9,39,15,15,62,21,49,223,11,5,60,0,8,182,0,3,5,66,1,23,1,0,6,13,42,22,11,297,11,211
cell419,0,19,0,2,190,17,1,148,0,0,18,93,3,8,25,11,49,9,69,2,2,5,0,0,6,4,1,22,15,0,36,5,40,11,34,4682,85,25,7,2,3,19,5,10,241,2,6,2,3,14,7,35,0,4,44,16,9,0,46,81,27,32,3,0,0,0,37,58,5,5,93,0,4,10,17,238,9,59,3,8,3,13,54,2,58,13,21,3257,19,4,52,0,7,83,10,1,6,60,9,28,30,0,0,12,37,4,8,2656,3,20
cell420,9,70,0,21,155,27,0,116,47,3,12,75,4,8,40,9,57,9,58,8,3,1,0,0,11,2,0,15,14,0,41,10,49,15,9,1715,87,19,8,1,0,33,10,65,86,7,70,12,7,5,9,30,6,1,39,11,0,38,40,32,27,13,0,0,7,2,35,82,6,8,101,20,0,17,14,231,6,56,0,12,2,14,34,6,43,23,6,1936,28,11,65,0,2,214,5,2,10,84,3,52,21,0,0,11,45,11,8,1345,6,17
cell421,0,0,1,4,452,23,0,198,150,2,8,105,3,8,28,16,59,11,56,8,4,7,1,0,8,3,1,47,14,14,15,2,31,17,38,2406,96,83,5,5,26,50,3,63,107,3,60,11,10,27,6,31,0,156,48,23,7,0,38,40,25,9,3,0,3,1,53,92,11,9,99,21,0,75,5,295,2,64,0,11,8,15,52,1,39,26,15,2011,15,1,52,12,4,98,4,1,9,49,6,26,26,1,2,21,38,15,12,1206,13,7
cell422,26,1,1,3,18,9,0,105,130,18,4,48,0,0,25,17,28,2,114,148,6,10,1,1,0,36,13,22,12,2,123,6,147,96,34,98,64,15,6,8,2,20,4,48,70,0,164,20,10,7,11,27,4,10,27,10,4,29,22,23,62,16,6,0,64,4,20,35,14,13,59,10,0,12,68,72,16,6,0,43,5,9,15,0,40,10,64,266,2,1,46,0,17,222,2,2,6,44,1,8,1,0,1,17,37,1,8,115,35,338
cell423,56,2,0,2,102,13,0,71,73,10,7,52,1,0,17,7,41,12,79,130,10,1,2,0,14,52,9,9,20,0,216,6,264,113,43,205,72,44,8,29,3,28,13,25,78,1,270,14,3,9,11,19,3,65,40,5,2,14,21,28,95,31,4,0,9,0,27,30,10,15,78,8,6,21,59,62,29,7,0,7,9,8,19,13,19,18,44,204,5,0,61,0,4,90,13,2,6,31,6,25,1,0,2,67,36,10,18,274,12,168
cell424,37,0,1,3,0,10,0,88,197,29,6,91,1,0,46,0,30,10,70,160,10,2,1,4,0,30,1,10,11,0,152,11,250,112,26,110,71,48,11,6,0,31,5,57,42,4,301,42,4,47,3,28,4,76,50,16,29,24,52,9,100,17,4,0,43,2,35,21,14,23,94,4,1,32,59,83,20,3,5,40,18,12,12,3,13,2,30,253,7,3,56,0,12,82,9,1,0,53,1,29,5,0,7,26,26,1,4,215,20,103
cell425,8,0,1,10,2,3,0,80,184,18,7,59,1,0,21,8,40,4,321,104,1,2,4,0,0,25,1,13,22,1,172,18,251,114,27,161,91,47,7,11,7,21,2,43,41,2,290,57,9,21,5,17,6,50,33,8,53,20,32,25,84,8,3,0,194,2,38,24,11,3,79,7,3,24,100,73,36,6,7,33,24,11,14,37,35,17,70,191,1,4,83,0,20,198,4,4,4,63,5,26,2,0,0,46,27,8,6,62,15,329
cell426,0,2,1,13,3,9,0,97,151,25,13,91,0,0,10,2,47,8,65,84,5,14,4,0,0,20,0,19,19,2,205,12,158,50,32,350,90,53,11,4,10,31,2,57,70,4,182,29,12,29,19,27,4,68,29,15,23,33,49,24,75,32,7,0,45,0,39,23,26,2,88,9,3,16,60,76,17,0,0,7,16,16,22,18,27,10,30,236,6,0,62,3,19,146,3,8,0,53,4,13,1,0,4,33,22,11,21,44,17,258
cell427,0,7,2,30,666,11,0,210,19,6,9,74,2,6,37,8,41,3,61,31,5,3,4,1,18,9,0,17,12,4,20,7,35,11,36,1794,52,57,6,2,0,19,0,49,177,1,63,30,11,32,10,28,3,69,48,18,16,0,40,26,39,4,9,0,0,0,39,93,7,5,82,6,1,7,21,160,21,49,2,14,12,3,18,14,32,55,18,1674,31,3,71,0,5,124,5,0,2,49,1,17,33,0,1,25,31,3,11,2309,10,32
cell428,0,0,1,10,0,5,1,54,53,12,5,50,5,0,11,6,40,3,93,97,6,0,0,0,1,22,0,12,15,0,234,18,104,79,20,303,69,23,6,12,2,21,8,70,75,4,66,30,4,13,5,25,6,29,41,15,8,26,39,18,85,9,2,0,124,0,36,44,19,10,77,18,4,28,29,60,19,3,0,18,12,4,18,4,21,6,16,231,5,9,52,0,17,172,3,8,3,54,0,21,7,0,8,11,15,12,10,86,9,229
cell429,1,1,2,9,0,6,0,94,230,40,3,96,1,0,46,15,41,1,55,74,15,4,0,0,0,18,0,8,15,1,103,16,116,78,32,115,115,43,3,4,23,39,6,77,78,4,114,42,4,12,8,41,1,90,58,16,9,34,35,30,75,10,6,0,3,6,49,33,21,7,119,6,6,21,46,98,22,3,0,9,3,6,16,9,29,10,51,335,3,13,36,6,5,122,2,1,2,81,4,51,1,0,2,30,22,4,14,26,16,232
cell430,14,16,1,8,0,35,0,110,0,3,13,63,11,0,50,10,59,8,28,22,7,5,4,2,8,13,0,33,5,3,35,13,41,22,21,1966,71,53,3,4,1,28,4,54,117,4,54,6,13,16,12,28,6,83,47,20,6,0,32,48,36,16,9,0,7,3,29,48,7,13,92,5,6,23,9,169,7,15,0,14,2,10,32,1,24,21,17,1979,19,0,62,21,8,150,4,3,5,60,10,17,13,1,0,26,41,6,10,2521,6,17
cell431,9,46,5,10,0,18,2,171,0,6,5,80,5,19,20,2,39,5,36,19,7,0,2,0,11,0,0,32,11,12,42,4,62,24,25,1310,80,72,1,0,4,29,3,48,95,9,32,18,3,45,17,16,2,116,52,18,15,0,29,35,25,12,3,0,0,1,32,72,10,18,84,17,8,37,32,188,19,48,0,16,6,9,15,1,30,24,40,1517,15,2,78,0,5,107,5,2,2,66,0,24,4,1,0,21,37,4,16,1784,10,16
cell432,0,2,0,13,347,4,1,119,187,19,1,63,0,0,28,2,53,4,116,75,18,6,1,0,0,19,6,21,16,2,195,4,226,87,17,43,87,50,4,12,1,29,2,49,71,5,156,48,8,19,11,23,1,53,27,16,3,24,27,27,89,12,3,0,136,1,32,17,15,9,83,4,0,17,53,81,18,6,0,10,8,10,19,6,21,14,60,282,6,1,33,0,17,52,8,3,6,60,0,6,1,0,8,13,24,0,10,72,10,275
cell433,0,0,0,3,0,10,0,117,150,31,7,62,1,1,38,3,60,6,65,77,6,3,3,0,4,36,5,5,19,1,62,13,146,112,26,346,103,45,2,10,0,21,10,67,34,1,206,22,3,43,10,17,1,0,48,8,10,46,33,17,73,12,3,0,123,2,28,46,16,14,95,9,16,23,77,94,36,1,29,45,13,3,7,3,27,11,52,306,4,8,36,2,38,40,3,2,7,60,4,15,0,0,7,42,33,9,14,161,18,203
cell434,9,43,5,21,0,17,0,150,91,0,5,79,2,0,16,4,30,4,60,34,4,1,1,0,20,15,2,32,14,14,55,3,57,38,20,1282,83,50,3,0,0,15,3,57,146,3,47,24,10,3,17,18,3,134,42,6,7,0,39,30,43,26,2,0,0,2,33,52,14,6,78,0,5,13,19,162,13,4,1,17,3,7,38,4,40,20,18,1271,47,3,48,0,1,119,2,2,3,64,5,16,19,0,0,19,54,1,10,1035,7,9
cell435,0,4,0,1,228,14,0,96,142,41,8,73,7,0,27,11,65,11,131,75,5,9,2,0,21,34,3,11,17,6,160,19,123,69,26,326,103,30,1,7,21,38,6,69,73,5,120,20,10,36,12,30,7,11,53,11,8,25,39,25,71,52,7,0,73,0,48,41,11,7,118,19,5,22,23,92,25,1,0,16,5,23,25,13,56,3,35,303,1,2,42,1,6,179,4,1,0,78,0,18,4,0,5,45,26,13,5,78,58,61
cell436,1,0,0,6,60,11,3,110,162,3,7,90,2,0,49,9,65,9,58,43,0,0,0,0,0,26,5,13,13,1,90,28,77,60,10,253,125,70,3,2,1,42,13,56,65,5,138,36,16,9,4,25,5,8,61,6,5,13,34,16,67,17,13,0,118,1,42,41,18,3,94,6,1,7,64,86,28,4,0,10,17,10,16,36,37,24,71,300,5,8,32,0,19,42,5,9,3,71,1,23,2,1,1,42,26,7,12,55,20,138
cell437,41,0,0,13,184,13,4,100,126,26,5,50,1,0,30,12,50,12,202,108,3,3,0,1,0,8,0,6,20,3,175,13,143,75,21,376,87,16,3,6,4,35,3,64,24,2,171,16,9,4,3,27,2,53,46,21,24,28,41,36,93,53,7,3,85,0,26,36,10,21,113,2,13,37,47,84,36,1,5,41,18,11,10,6,47,16,66,345,3,10,63,2,18,105,2,6,1,49,0,19,0,0,10,87,17,20,4,72,13,311
cell438,63,5,0,9,202,9,2,77,157,8,18,64,1,0,39,3,45,12,78,32,5,0,0,0,0,7,0,14,19,3,84,7,108,68,6,258,107,34,3,4,0,47,4,79,64,6,182,44,3,29,16,46,0,1,40,25,13,25,68,23,63,9,5,0,96,3,48,33,13,3,119,19,2,29,41,79,45,2,9,30,24,18,14,10,47,11,78,268,4,8,32,0,27,192,7,11,15,76,1,49,10,0,2,14,19,4,4,50,8,214
cell439,1,10,0,6,0,3,0,115,217,34,12,83,0,0,52,11,79,10,82,81,8,7,2,1,0,21,1,17,20,2,105,11,112,63,39,210,112,104,7,2,1,53,10,113,81,8,101,34,24,9,0,47,2,45,55,24,0,19,35,28,72,13,5,0,96,1,53,24,6,22,164,4,3,16,31,75,11,1,3,8,6,8,15,3,41,6,64,320,2,0,31,35,7,117,4,9,9,51,3,8,3,1,5,59,18,3,7,42,20,117
cell440,0,18,4,0,0,24,0,179,68,27,3,142,4,1,50,19,104,11,48,39,18,1,0,0,24,16,0,23,30,7,67,11,71,24,17,1572,115,64,9,2,0,58,1,107,138,12,90,21,7,9,9,45,2,80,40,27,3,0,43,72,71,15,4,0,65,5,55,59,0,2,161,7,2,8,24,152,3,51,2,29,3,18,26,0,63,40,23,1242,7,0,57,0,2,245,2,6,12,81,5,27,28,0,0,12,45,8,6,1993,5,18
cell441,5,9,0,11,106,5,4,81,156,40,10,72,4,0,27,9,60,13,134,82,1,3,7,0,0,10,3,7,16,4,142,5,146,90,39,254,95,93,10,4,0,56,2,47,80,5,18,45,14,11,18,38,4,87,46,15,14,42,58,23,73,14,3,1,38,3,54,53,9,4,133,41,0,22,54,54,45,3,0,12,8,8,13,1,40,19,62,278,1,4,47,0,16,72,5,2,15,91,1,8,2,0,15,28,23,4,4,79,15,332
cell442,5,8,2,13,123,11,0,98,249,35,6,102,2,0,35,7,94,0,74,77,2,7,0,3,0,23,0,9,23,2,77,14,86,62,32,300,120,94,10,5,36,54,6,110,26,15,146,38,8,54,8,53,8,43,69,25,7,35,55,15,71,35,16,0,22,0,35,19,12,8,185,13,17,12,23,66,41,5,0,18,29,18,17,3,29,24,65,376,2,1,53,0,20,147,3,4,3,81,0,21,3,0,6,38,20,8,6,143,9,231
cell443,0,3,0,11,325,6,1,126,119,28,6,71,0,0,39,14,66,2,61,64,2,0,2,2,0,2,24,7,15,1,48,5,119,79,41,416,100,47,6,4,0,48,8,25,32,8,141,40,11,38,8,42,1,90,67,25,11,27,55,33,50,32,11,0,78,2,37,49,18,17,110,23,8,23,13,91,8,4,0,5,0,10,35,12,14,5,75,430,9,6,24,0,18,57,11,3,8,89,0,16,2,1,11,63,13,7,10,243,14,306
cell444,0,6,0,9,377,10,29,108,224,17,9,78,0,1,29,3,78,1,107,61,2,1,3,1,0,10,5,12,22,1,123,5,133,53,18,357,115,89,9,15,1,45,9,84,88,9,169,58,21,20,13,42,2,140,58,22,14,19,70,24,67,41,5,0,129,0,55,55,13,2,136,9,29,18,27,51,7,0,40,27,24,3,11,2,37,22,80,374,9,10,40,10,15,161,2,1,0,64,0,26,4,0,5,18,17,7,4,194,20,79
cell445,25,4,1,6,277,7,0,99,229,23,12,86,3,0,85,5,65,5,124,115,6,1,3,0,0,18,3,12,25,0,63,28,133,63,17,299,102,60,9,11,0,61,2,95,28,0,14,28,12,51,4,43,3,58,63,17,17,6,53,35,42,24,19,0,49,3,36,33,28,1,126,27,1,23,37,72,20,7,24,13,9,20,28,12,24,18,59,306,1,9,47,5,14,110,1,3,10,80,0,31,3,0,7,39,18,14,15,50,18,318
cell446,1,2,0,11,0,14,0,99,143,54,7,69,1,0,52,5,72,10,110,50,4,11,2,1,32,14,6,18,26,7,94,6,93,83,22,329,76,29,0,6,2,41,4,65,42,5,135,32,9,17,2,32,0,40,49,25,10,48,43,25,31,29,8,0,68,1,41,36,6,17,96,28,4,18,36,68,35,8,31,7,23,17,19,14,46,6,77,385,1,4,60,4,25,75,4,1,1,55,2,27,7,0,6,34,23,6,8,119,12,132
cell447,0,18,0,16,8,6,0,101,82,8,10,46,0,6,24,1,57,13,40,34,4,4,0,0,19,14,10,37,22,5,63,8,64,15,22,405,71,31,2,3,2,38,5,68,101,2,102,16,9,14,12,38,1,1,55,15,4,3,38,28,49,5,8,0,2,4,39,51,11,8,91,16,2,7,26,97,2,15,4,8,3,38,28,0,30,36,20,680,14,0,72,0,9,154,6,3,3,80,2,20,4,5,0,12,41,1,13,2974,15,18
